,gbrt_minimize,dummy_minimize,gp_minimize,forest_minimize,hyperopt_minimize,gpyopt_minimize
Ackley_11_r,15.808<15.924<16.063,18.363<18.429<18.515,13.258<13.557<13.822,14.443<14.569<14.699,15.908<16.193<16.488,19.899<19.919<19.959
Ackley_3_1_r,1.974<2.273<2.506,10.54<10.793<11.069,1.805<1.989<2.126,2.931<3.138<3.31,7.333<7.805<8.276,-0.042<0.042<0.085
Adjiman_2_r,-1.106<-1.06<-1.004,-1.61<-1.591<-1.569,-2.022<-2.022<-2.022,-2.021<-2.014<-2.009,-1.973<-1.962<-1.951,-2.022<-2.022<-2.022
Alpine02_2_ri,-3.807<-3.663<-3.491,-6.025<-5.961<-5.906,-5.104<-5.006<-4.902,-6.031<-5.878<-5.761,-5.836<-5.699<-5.578,-6.126<-6.09<-6.072
CarromTable_2_ri,-20.984<-20.984<-20.984,-9.151<-8.182<-7.115,-21.044<-20.925<-20.866,-20.866<-19.917<-19.12,-19.391<-18.523<-17.758,-18.256<-18.216<-18.137
Csendes_2_r,0.0<0.0<0.0,-0.0<0.0<0.0,0.0<0.0<0.0,-0.0<0.0<0.0,0.0<0.0<0.0,0.0<0.0<0.0
DeflectedCorrugatedSpring_4_r,-0.385<-0.378<-0.366,-0.263<-0.238<-0.209,-0.398<-0.366<-0.34,-0.793<-0.722<-0.66,-0.633<-0.587<-0.541,-0.86<-0.825<-0.807
DeflectedCorrugatedSpring_7_r,0.377<0.409<0.452,0.704<0.745<0.788,0.341<0.401<0.466,0.268<0.34<0.409,-0.005<0.078<0.161,0.763<0.781<0.817
Easom_2_r,4.301<4.84<5.269,15.999<16.818<17.756,13.623<14.504<15.511,1.431<2.717<3.837,9.669<10.45<11.215,21.638<21.662<21.71
Easom_4_r,17.743<18.026<18.399,20.265<20.334<20.429,18.935<19.478<20.174,19.318<19.694<20.169,18.34<18.774<19.235,20.198<20.209<20.214
Easom_5_r,20.196<20.248<20.339,19.259<19.387<19.504,17.888<18.259<18.759,19.697<20.123<20.621,19.704<19.986<20.312,20.432<20.441<20.446
Hartmann3_3_ri,-3.695<-3.659<-3.629,-3.378<-3.36<-3.339,-3.865<-3.845<-3.835,-3.832<-3.781<-3.737,-3.707<-3.672<-3.639,-3.855<-3.855<-3.855
Hartmann6_6_10_r,-2.191<-2.147<-2.096,-1.999<-1.963<-1.931,-2.152<-2.044<-1.925,-2.764<-2.737<-2.707,-2.384<-2.286<-2.19,-3.403<-3.397<-3.394
HelicalValley_3_r,3.178<3.554<3.799,6.061<6.919<7.509,19.38<20.777<22.106,5.445<7.088<8.48,4.269<5.574<6.721,0.146<0.151<0.154
LennardJones6_6_r,-0.806<-0.791<-0.779,-0.902<-0.869<-0.841,-0.994<-0.952<-0.918,-0.998<-0.995<-0.993,-0.849<-0.805<-0.763,-1.0<-1.0<-1.0
McCourt01_7_10_r,-0.097<-0.088<-0.081,0.4<0.414<0.426,0.17<0.182<0.194,0.002<0.011<0.021,0.175<0.202<0.23,-0.001<0.001<0.003
McCourt03_9_r,-2.907<-2.903<-2.9,-2.44<-2.424<-2.411,-3.024<-3.021<-3.02,-2.683<-2.67<-2.658,-2.655<-2.62<-2.587,-3.021<-3.021<-3.021
McCourt06_5_r,2.813<2.814<2.815,3.049<3.057<3.065,2.817<2.819<2.82,2.899<2.91<2.919,2.932<2.944<2.956,2.808<2.808<2.808
